pay_rank,type,pct_stem,early_pay,mid_pay,college_name,state
1,"Engineering, Liberal Arts School, Private School",85,91400,162500,harvey mudd college,California
2,"Engineering, Private School, Research University",69,88300,158100,massachusetts institute of technology,Massachusetts
3,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School",58,79600,152600,united states naval academy at annapolis,Maryland
4,"Ivy League, Private School, Research University, For Sports Fans",48,77300,150500,princeton university,New Jersey
5,"Engineering, Private School, Research University",97,87600,150300,california institute of technology,California
6,"Ivy League, Private School, Research University, For Sports Fans",19,76400,147700,harvard university,Massachusetts
7,"Engineering, Private School, Research University, For Sports Fans",51,81800,147100,stanford university,California
8,"Private School, Religious, For Sports Fans",29,71100,146300,santa clara university,California
8,"Liberal Arts School, Sober School, For Sports Fans, State School",39,81100,146300,united states military academy at west point,New York
10,"Business, Private School",0,73000,146200,babson college,Massachusetts
11,"Liberal Arts School, Party School, Private School, For Sports Fans",26,69700,144800,colgate university,New York
12,"Engineering, Private School, Research University",79,75800,144300,stevens institute of technology,New Jersey
13,State School,32,74500,143400,suny - maritime college,New York
14,"Ivy League, Private School, Research University, For Sports Fans",21,73700,142900,university of pennsylvania,Pennsylvania
15,"Engineering, Research University, State School",93,75800,142800,colorado school of mines,Colorado
16,"Liberal Arts School, Private School",32,67600,142300,williams college,Massachusetts
17,"Ivy League, Private School, Research University, For Sports Fans",35,73300,141400,dartmouth college,New Hampshire
18,"Ivy League, Private School, Research University, For Sports Fans",22,72700,141300,yale university,Connecticut
19,"Liberal Arts School, Private School",45,67700,141000,swarthmore college,Pennsylvania
20,Private School,2,77700,140800,albany college of pharmacy and health sciences,New York
21,"Liberal Arts School, Private School",18,66500,140600,washington and lee university,Virginia
22,"Liberal Arts School, Sober School, For Sports Fans, State School",43,77600,140400,united states air force academy,Colorado
23,"Engineering, Private School, Research University, For Sports Fans",52,70300,139800,lehigh university,Pennsylvania
24,"Research University, For Sports Fans, State School",36,72600,138800,university of california - berkeley,California
25,"Liberal Arts School, Private School",16,70700,138500,claremont mckenna college,California
25,"Engineering, State School",56,84300,138500,united states merchant marine academy,New York
27,"Engineering, Private School",100,81500,137900,webb institute,New York
28,"Engineering, Private School",96,76600,137700,rose-hulman institute of technology,Indiana
29,"Engineering, Research University, For Sports Fans, State School",80,74500,137300,georgia institute of technology,Georgia
30,"Private School, Religious, Research University, For Sports Fans",28,68300,136900,university of notre dame,Indiana
31,"Ivy League, Private School, Research University, For Sports Fans",43,69900,136700,brown university,Rhode Island
32,"Engineering, Private School, Research University",66,78600,136500,carnegie mellon university,Pennsylvania
33,"Liberal Arts School, Private School",36,61300,136300,haverford college,Pennsylvania
