state,college_name
Alaska,University of Alaska Anchorage
Alaska,University of Alaska Fairbanks
Alaska,University of Alaska Southeast
Alaska,Alaska Bible College
Alaska,Alaska Pacific University
Alaska,Wayland Baptist University
Alaska,Saint Herman Theological Seminary
Alabama,Air University
Alabama,Alabama A&M University[c]
Alabama,Alabama College of Osteopathic Medicine
Alabama,Alabama State University[c]
Alabama,Amridge University
Alabama,Athens State University
Alabama,Auburn University
Alabama,Auburn University at Montgomery
Alabama,Bevill State Community College
Alabama,Birmingham School of Law
Alabama,Birmingham–Southern College
Alabama,Bishop State Community College[c]
Alabama,Calhoun Community College
Alabama,Central Alabama Community College
Alabama,Chattahoochee Valley Community College
Alabama,Coastal Alabama Community College
Alabama,Columbia Southern University
Alabama,Community College of the Air Force
Alabama,Enterprise State Community College
Alabama,Faulkner University
Alabama,Gadsden State Community College[c]
Alabama,H. Councill Trenholm State Community College
Alabama,Heritage Christian University
Alabama,Huntingdon College
Alabama,Huntsville Bible College
Alabama,J.F. Drake State Community and Technical College
Alabama,J. F. Ingram State Technical College
Alabama,Jacksonville State University
Alabama,Jefferson State Community College
Alabama,Judson College
Alabama,Lawson State Community College
Alabama,Lurleen B. Wallace Community College
Alabama,Marion Military Institute
Alabama,Miles College[c]
Alabama,Miles Law School
Alabama,Northeast Alabama Community College
Alabama,Northwest–Shoals Community College
Alabama,Oakwood University[c]
Alabama,Reid State Technical College
Alabama,Samford University
Alabama,Selma University[c]
Alabama,Shelton State Community College[c]
Alabama,Snead State Community College
Alabama,Southern Union State Community College
Alabama,Spring Hill College
Alabama,Stillman College[c]
Alabama,Talladega College[c]
Alabama,Troy University
Alabama,Tuskegee University[c]
Alabama,United States Sports Academy
Alabama,University of Alabama
Alabama,University of Alabama at Birmingham
Alabama,University of Alabama in Huntsville
Alabama,University of Mobile
Alabama,University of Montevallo
Alabama,University of North Alabama
Alabama,University of South Alabama
Alabama,University of West Alabama
Alabama,Wallace Community College
Alabama,Wallace Community College Selma
Alabama,Wallace State Community College
Alabama,Columbia College Missouri
Alabama,Edward Via College of Osteopathic Medicine
Alabama,Embry-Riddle Aeronautical University
Alabama,Florida Institute of Technology
Alabama,Southeastern University
Alabama,United States Army Command and General Staff College
Alabama,Concordia College Alabama[c]
Alabama,Daniel Payne College
Alabama,Southeastern Bible College
Alabama,Southern Benedictine College
Alabama,Virginia College
Arkansas,Arkansas Baptist College
Arkansas,Arkansas Northeastern College
Arkansas,Arkansas State University
Arkansas,Arkansas State University-Beebe
Arkansas,Arkansas State University Mid-South
Arkansas,Arkansas State University–Mountain Home
Arkansas,Arkansas State University-Newport
Arkansas,Arkansas Tech University
Arkansas,Black River Technical College
Arkansas,Blue Cliff College
Arkansas,Central Baptist College
Arkansas,College of the Ouachitas
Arkansas,Cossatot Community College
Arkansas,Crowley's Ridge College
Arkansas,East Arkansas Community College
Arkansas,Ecclesia College
Arkansas,Harding University
Arkansas,Henderson State University
Arkansas,Hendrix College
Arkansas,John Brown University
Arkansas,Lyon College
Arkansas,National Park College
Arkansas,North Arkansas College
Arkansas,Northwest Arkansas Community College
Arkansas,Ouachita Baptist University
Arkansas,Ozarka College
Arkansas,Philander Smith College
Arkansas,Phillips Community College of the University of Arkansas
Arkansas,Shorter College
Arkansas,South Arkansas Community College
Arkansas,Southeast Arkansas College
Arkansas,Southern Arkansas University
Arkansas,Southern Arkansas University Tech
Arkansas,University of Arkansas
Arkansas,University of Arkansas Community College at Batesville
Arkansas,University of Arkansas Community College at Hope
Arkansas,University of Arkansas Community College at Morrilton
Arkansas,University of Arkansas System eVersity
Arkansas,University of Arkansas at Little Rock
Arkansas,University of Arkansas at Monticello
Arkansas,University of Arkansas at Pine Bluff
Arkansas,University of Arkansas Rich Mountain
Arkansas,University of Arkansas for Medical Sciences
Arkansas,University of Arkansas–Fort Smith
Arkansas,University of Arkansas – Pulaski Technical College
Arkansas,University of Central Arkansas
Arkansas,University of the Ozarks
Arkansas,Williams Baptist University
Arizona,Arizona State University
Arizona,Northern Arizona University
Arizona,University of Arizona
Arizona,College of Applied Science & Technology
Arizona,Arizona Christian University
Arizona,Benedictine University at Mesa
Arizona,Embry-Riddle Aeronautical University
Arizona,Prescott College
Arizona,Ottawa University
Arizona,Park University
Arizona,A.T. Still University
Arizona,Cummings Graduate Institute for Behavioral Health Studies
Arizona,Fuller Theological Seminary
Arizona,Midwestern University
Arizona,Phoenix Seminary
Arizona,Southwest College of Naturopathic Medicine
Arizona,The School of Architecture at Taliesin
Arizona,Wilkes University
Arizona,Arizona College
Arizona,Automotive Dealership Institute
Arizona,Brookline College
Arizona,Brown Mackie College
Arizona,Bryan University
Arizona,Carrington College
Arizona,Chamberlain College of Nursing
Arizona,CollegeAmerica
Arizona,DeVry University
Arizona,Dunlap-Stone University
Arizona,Grand Canyon University
Arizona,Northcentral University
Arizona,Penn Foster College
Arizona,Sessions College for Professional Design
Arizona,Southwest University of Visual Arts
Arizona,Universal Technical Institute
Arizona,University of Advancing Technology
Arizona,University of Phoenix
Arizona,The Art Institute of Phoenix
Arizona,The Art Institute of Tucson
Arizona,Le Cordon Bleu College of Culinary Arts Scottsdale
Arizona,Arizona Summit Law School
Arizona,Anthem Education Group
Colorado,Adams State University
Colorado,Colorado Mesa University
Colorado,Colorado School of Mines
Colorado,Fort Lewis College
Colorado,Metropolitan State University of Denver
Colorado,University of Northern Colorado
Colorado,Western Colorado University
Colorado,Colorado State University
Colorado,Colorado State University
Colorado,Colorado State University Global
Colorado,University of Colorado
Colorado,University of Colorado
Colorado,University of Colorado
Colorado,University of Colorado
Colorado,United States Air Force Academy
Colorado,Colorado Christian University
Colorado,Colorado College
